id_inspection;name_piece;ref_piece;name_program;state;dents;corrosions;scratches;details;inspection_date;inspection_path;inspection_validated;user_validation;creation_date;user_creation;modification_date;user_modification;deleted
1;Landing gear;0054-0544;Camera only;Not good;FALSE;TRUE;FALSE;dimensions measured;2024-06-13;ftp://inspection-server/aircraft/B787/Landing gear/0054-0544/2024-06-13;TRUE;2;2024-06-13 10:55:15;5;2024-06-19 15:55:42;2;false
2;Engine cover;16714-321;Big robot arm;Not good;TRUE;FALSE;TRUE;dimensions measured;2025-03-01;ftp://inspection-server/aircraft/B747/Engine cover/16714-321/2025-03-01;TRUE;2;2025-03-01 20:25:34;4;2025-03-06 13:25:34;2;false
3;Tail fin;48951-8232;Rotating table plus camera;Average;TRUE;FALSE;FALSE;;2025-04-10;ftp://inspection-server/aircraft/B747/Tail fin/48951-8232/2025-04-10;TRUE;3;2025-04-10 12:03:38;4;2025-04-15 02:29:29;3;false
4;Landing gear;67253-541;Gantry system;Perfect;FALSE;FALSE;FALSE;packaging condition assessed;2024-12-17;ftp://inspection-server/aircraft/A320neo/Landing gear/67253-541/2024-12-17;TRUE;3;2024-12-17 15:31:08;6;2024-12-21 15:45:37;3;false
5;Engine cover;50436-3175;Camera only;Average;FALSE;FALSE;TRUE;;2024-06-18;ftp://inspection-server/aircraft/A320neo/Engine cover/50436-3175/2024-06-18;TRUE;2;2024-06-18 01:01:17;7;2024-06-18 10:32:51;2;false
6;Flap;36987-2184;Complete inspection;Perfect;FALSE;FALSE;FALSE;;2025-02-19;ftp://inspection-server/aircraft/B747/Flap/36987-2184/2025-02-19;TRUE;3;2025-02-19 02:53:34;8;2025-02-23 01:02:19;3;false
7;Elevator;51991-623;Complete inspection;Good;FALSE;FALSE;TRUE;dimensions measured;2024-09-03;ftp://inspection-server/aircraft/B747/Elevator/51991-623/2024-09-03;TRUE;1;2024-09-03 21:45:56;9;2024-09-07 08:01:19;1;false
8;Landing gear;52125-300;Complete inspection;Good;TRUE;FALSE;FALSE;material composition checked;2024-11-11;ftp://inspection-server/aircraft/Landing gear/52125-300/2024-11-11;TRUE;1;2024-11-11 16:59:46;9;2024-11-14 10:46:46;1;false
9;Elevator;42291-650;Big robot arm;Average;FALSE;FALSE;TRUE;weight recorded;2024-12-18;ftp://inspection-server/aircraft/B777/Elevator/42291-650/2024-12-18;TRUE;3;2024-12-18 09:37:36;8;2024-12-22 17:00:23;3;false
10;Flap;68151-2939;Big robot arm;Really bad;TRUE;TRUE;FALSE;packaging condition assessed;2024-11-15;ftp://inspection-server/aircraft/Flap/68151-2939/2024-11-15;FALSE;;2024-11-15 20:29:41;8;;;false
11;Flap;35356-934;Camera only;Not good;FALSE;TRUE;TRUE;;2024-09-10;ftp://inspection-server/aircraft/A380/Flap/35356-934/2024-09-10;TRUE;2;2024-09-10 14:00:17;4;2024-09-15 01:09:34;2;false
12;Elevator;55319-974;Camera only;Good;FALSE;TRUE;FALSE;packaging condition assessed;2025-05-17;ftp://inspection-server/aircraft/Elevator/55319-974/2025-05-17;TRUE;3;2025-05-17 23:05:05;4;2025-05-23 07:04:14;3;false
13;Fuselage panel;41250-477;Complete inspection;Not good;TRUE;FALSE;TRUE;;2024-08-24;ftp://inspection-server/aircraft/A320neo/Fuselage panel/41250-477/2024-08-24;TRUE;3;2024-08-24 20:16:50;6;2024-08-26 02:20:15;3;false
14;Rudder;11584-1100;Camera only;Almost perfect;FALSE;FALSE;FALSE;;2024-12-07;ftp://inspection-server/aircraft/A380/Rudder/11584-1100/2024-12-07;TRUE;2;2024-12-07 08:42:32;10;2024-12-09 09:04:47;2;false
