id_inspection;name_piece;ref_piece;name_program;state;dents;corrosions;scratches;details;inspection_date;inspection_path;inspection_validated;user_validation;creation_date;user_creation;modification_date;user_modification
1;Landing gear;0054-0544;Camera only;Good;false;true;false;dimensions measured;2024-06-13;ftp://inspection-server/aircraft/B787/apu/APU008_20240308/thermal_scans/;true;3;2024-07-11;5;2024-08-27;
2;Engine cover;16714-321;Big robot arm;Almost perfect;true;false;true;dimensions measured;2025-03-01;ftp://inspection-server/aircraft/B747/doors/CD006_20240310/assessment/;true;2;2024-08-03;4;2025-04-13;1
3;Tail fin;48951-8232;Rotating table plus camera;Good;true;false;false;;2025-04-10;ftp://inspection-server/aircraft/B747/doors/CD006_20240310/assessment/;true;1;2025-05-05;4;2025-01-02;
4;Landing gear;67253-541;Gantry system;Destroyed;false;false;false;packaging condition assessed;2024-12-17;ftp://inspection-server/aircraft/A320neo/nose/NC007_20240309/strike_analysis/;true;1;2024-06-15;6;2024-10-17;9
5;Engine cover;50436-3175;Camera only;Almost perfect;false;false;true;;2024-06-18;ftp://inspection-server/aircraft/A320neo/nose/NC007_20240309/strike_analysis/;true;1;2025-02-24;7;2024-11-20;
6;Flap;36987-2184;Complete inspection;Really bad;false;false;false;;2025-02-19;ftp://inspection-server/aircraft/B747/doors/CD006_20240310/assessment/;false;3;2025-06-03;8;2025-03-07;
7;Elevator;51991-623;Complete inspection;Destroyed;false;false;true;dimensions measured;2024-09-03;ftp://inspection-server/aircraft/B747/doors/CD006_20240310/assessment/;true;2;2024-12-29;9;2024-10-08;
8;Landing gear;52125-300;Complete inspection;Good;true;false;false;material composition checked;2024-11-11;ftp://inspection-server/aircraft/A320/wing_panels/WP001_20240315/;true;2;2024-08-20;9;2024-10-13;3
9;Elevator;42291-650;Big robot arm;Good;false;false;true;weight recorded;2024-12-18;ftp://inspection-server/aircraft/B777/engine/EC003_20240313/photos/;true;1;2025-05-31;8;2025-06-03;
10;Flap;68151-2939;Big robot arm;Almost perfect;true;true;false;packaging condition assessed;2024-11-15;ftp://inspection-server/aircraft/A320/wing_panels/WP001_20240315/;false;3;2024-10-17;8;2024-10-10;1
11;Flap;35356-934;Camera only;Average;false;true;true;;2024-09-10;ftp://inspection-server/aircraft/A380/tail/TR005_20240311/damage_report/;true;3;2024-12-23;4;2024-06-20;
12;Elevator;55319-974;Camera only;Really bad;false;true;false;packaging condition assessed;2025-05-17;ftp://inspection-server/aircraft/A320/wing_panels/WP001_20240315/;true;3;2024-11-24;4;2025-04-02;
13;Fuselage panel;41250-477;Complete inspection;Not Good;true;false;true;;2024-08-24;ftp://inspection-server/aircraft/A320neo/nose/NC007_20240309/strike_analysis/;false;1;2024-09-18;6;2024-09-06;
